id,startTime,endTime,durationSeconds,targetDurationSeconds,timerMode,completed,notes
fb004417-34f3-405c-8bdf-4340d5c44347,2015-01-01T00:00:00.000000,2015-01-01T02:12:52.000000,7972,7972,timed,1,
b9b8a49a-e9ed-4799-895e-bdb4db6776ad,2015-01-01T04:30:07.000000,2015-01-01T05:14:09.000000,2642,2642,timed,1,
a08e83c9-e69e-4ce4-86cf-e7cf0f92d3e9,2015-01-01T10:32:37.000000,2015-01-01T12:45:35.000000,7978,7978,timed,1,
9d077dfb-8b2b-4a63-8360-ff973d540dfa,2015-01-01T17:53:49.000000,2015-01-01T19:42:40.000000,6531,6531,timed,1,
549c908a-4d1d-4209-82a0-cd003840120e,2015-01-02T01:03:36.000000,2015-01-02T03:24:00.000000,8424,8424,timed,1,
d8e6c282-3b30-49c0-9d97-a6bd74b8ab59,2015-01-02T06:16:32.000000,2015-01-02T09:01:40.000000,9908,9908,timed,1,
dfebd12e-0ff9-4381-9e3d-1c63f90ae435,2015-01-02T14:49:42.000000,2015-01-02T17:40:10.000000,10228,10228,timed,1,
e4572178-ff92-4a26-af90-5e7970893774,2015-01-02T18:45:42.000000,2015-01-02T21:10:08.000000,8666,8666,timed,1,
e9fc3c0f-fd8e-445c-b397-d9628717120e,2015-01-02T23:27:09.000000,2015-01-02T23:41:58.000000,889,889,timed,1,
8a401be7-92ab-471d-8bbb-5f2364b685fc,2015-01-03T02:52:21.000000,2015-01-03T03:38:06.000000,2745,2745,timed,1,
032d1d43-c07c-49ed-badc-58251cada0d0,2015-01-03T06:33:34.000000,2015-01-03T08:07:13.000000,5619,5619,timed,1,
51d10fd3-bdac-4e8e-afcb-e0af7fdbb494,2015-01-03T13:58:43.000000,2015-01-03T14:49:29.000000,3046,3046,timed,1,
58509f10-9382-46eb-a08b-1ec94b43ed9c,2015-01-03T17:17:19.000000,2015-01-03T17:57:38.000000,2419,2419,timed,1,
ad2d737d-215a-4ef9-950e-0578b0c2fa04,2015-01-03T18:38:44.000000,2015-01-03T19:05:57.000000,1633,1633,timed,1,
c2af62b3-e073-4e35-9f77-750bbf55a845,2015-01-04T00:39:26.000000,2015-01-04T02:32:14.000000,6768,6768,timed,1,
cc247cb7-06bb-4406-b00b-3574938e99ee,2015-01-04T05:35:42.000000,2015-01-04T06:02:39.000000,1617,1617,timed,1,
0c1fa453-9fae-4395-af80-f11270e31c0a,2015-01-04T11:45:25.000000,2015-01-04T13:01:49.000000,4584,4584,timed,1,
6b2bc8b9-d243-44fc-b843-a7871affd9ce,2015-01-04T16:29:51.000000,2015-01-04T19:04:30.000000,9279,9279,timed,1,
1288dc1f-2203-4d7f-89c9-741003a6a268,2015-01-04T22:24:02.000000,2015-01-05T00:15:11.000000,6669,6669,timed,1,
6c25f51d-68c7-4bb8-9ce6-4cf7d878cb35,2015-01-05T05:51:59.000000,2015-01-05T06:46:53.000000,3294,3294,timed,1,
75f82bd9-cca5-42eb-bb0f-62c8c1473053,2015-01-05T11:05:35.000000,2015-01-05T13:04:22.000000,7127,7127,timed,1,
36f3a954-1f15-4739-b42c-b629059a1ed1,2015-01-05T16:39:22.000000,2015-01-05T17:52:58.000000,4416,4416,timed,1,
a67f5134-0355-4d96-893f-95fcd7299d29,2015-01-05T21:33:26.000000,2015-01-05T22:46:19.000000,4373,4373,timed,1,
ecef378f-9247-4f1f-90d2-484c3bcd6935,2015-01-06T04:37:26.000000,2015-01-06T06:25:13.000000,6467,6467,timed,1,
dcb75801-8579-47a5-ab6a-cda0bcb17643,2015-01-06T08:25:23.000000,2015-01-06T09:19:35.000000,3252,3252,timed,1,
2288d6c6-7be7-44ed-9e3c-a8d93a7a6ad7,2015-01-06T14:08:13.000000,2015-01-06T14:25:47.000000,1054,1054,timed,1,
4fe49d9d-9ab4-4c8b-8b34-466d34258748,2015-01-06T16:36:25.000000,2015-01-06T18:30:48.000000,6863,6863,timed,1,
c3dc7235-93b2-4bd9-9e83-dd11c1eb07bf,2015-01-06T22:12:08.000000,2015-01-06T22:27:42.000000,934,934,timed,1,
