id,startTime,endTime,durationSeconds,targetDurationSeconds,timerMode,completed,notes
f8fd84c4-9d93-4536-a59b-83339e882fa5,2015-01-01T00:00:00.000000,2015-01-01T00:10:51.000000,651,651,timed,1,
0d657e1c-c325-488f-bcb4-2ff56dfdd0b2,2015-01-01T04:07:03.000000,2015-01-01T04:31:22.000000,1459,1459,timed,1,
d215c63b-a4cf-481d-babb-44e9551e7837,2015-01-01T09:22:52.000000,2015-01-01T12:05:41.000000,9769,9769,timed,1,
a9498cd6-04fd-4aeb-9e5f-9041fbb245e0,2015-01-01T13:43:05.000000,2015-01-01T14:21:32.000000,2307,2307,timed,1,
93b1951c-5ae5-47ed-87c8-235acff409cd,2015-01-01T18:07:19.000000,2015-01-01T18:18:06.000000,647,647,timed,1,
c904942a-fb96-4d4a-a2b7-1823e7a68493,2015-01-01T21:07:08.000000,2015-01-01T22:15:25.000000,4097,4097,timed,1,
ee077839-e6fb-4b95-a8de-a1983858590f,2015-01-01T23:11:18.000000,2015-01-02T01:14:45.000000,7407,7407,timed,1,
d0cea686-74ff-49de-94ea-c2abac278360,2015-01-02T05:47:03.000000,2015-01-02T08:10:48.000000,8625,8625,timed,1,
0803342e-b1a9-4cdc-b436-bfefe37ea5f5,2015-01-02T10:11:54.000000,2015-01-02T11:56:25.000000,6271,6271,timed,1,
7477696d-4dac-459a-affb-040fd68ce5a2,2015-01-02T17:36:30.000000,2015-01-02T19:13:27.000000,5817,5817,timed,1,
eec3347a-3c18-436b-a91a-e1bb036d5227,2015-01-02T22:44:12.000000,2015-01-03T01:26:38.000000,9746,9746,timed,1,
2428cdee-4dca-49b5-85ff-dda9958a6e06,2015-01-03T06:01:29.000000,2015-01-03T08:44:48.000000,9799,9799,timed,1,
e924310b-a804-47ef-bbe1-9909fb7e07fe,2015-01-03T14:18:38.000000,2015-01-03T16:57:47.000000,9549,9549,timed,1,
d262fb38-ae76-467a-b09b-7e152f5d514d,2015-01-03T20:40:19.000000,2015-01-03T21:33:09.000000,3170,3170,timed,1,
1aa296ed-bbb5-4f95-a686-63e4fe271a41,2015-01-04T00:02:10.000000,2015-01-04T02:16:34.000000,8064,8064,timed,1,
258558f8-4722-4f5e-80d7-27621fa5d81c,2015-01-04T06:12:37.000000,2015-01-04T06:26:46.000000,849,849,timed,1,
2eefcce0-8c3a-47a1-8780-2a092cdbcd01,2015-01-04T07:54:41.000000,2015-01-04T08:45:43.000000,3062,3062,timed,1,
27a193c2-2f35-4bdc-a6d6-7534d473d184,2015-01-04T14:01:39.000000,2015-01-04T15:39:04.000000,5845,5845,timed,1,
4acf8a4a-9ca9-4fb1-8779-10832e7b89fe,2015-01-04T16:39:18.000000,2015-01-04T18:33:49.000000,6871,6871,timed,1,
bbb3d282-a1b6-4fdb-b93c-186e9015f277,2015-01-05T00:25:19.000000,2015-01-05T02:46:36.000000,8477,8477,timed,1,
